serviceName,sousTitre,description,logoUrl,redirectionUrl,redirectionLabel,iframeUrl,extendLabel,status,leviers,competences,extraField
UrbanVitaliz,Recommandations d’actions pour faciliter la réhabilitation des friches urbaines,"UrbanVitaliz donne des recommandations d’actions à la collectivité, en fonction du projet qu’elle lui a soumis et des caractéristiques de la friches. Elle oriente ainsi vers les acteurs, dispositifs, financements, prestations, outils et stratégies disponibles, susceptibles de débloquer le porteur de projet. ",https://urbanvitaliz.fr/static/img/favicons/apple-touch-icon.png,https://urbanvitaliz.fr/,Découvrez UrbanVitaliz,,,"IDEE, FAISABILITE, EN_COURS, IMPACT",,Aménagement des territoires > Friche,
UrbanVitaliz,Des ressources autour de la réhabilitation des friches urbaines,Retrouvez des articles thématiques sur le sujet des friches urbaines.,https://urbanvitaliz.fr/static/img/favicons/apple-touch-icon.png,https://urbanvitaliz.fr/ressource/,,,,"IDEE, FAISABILITE, EN_COURS, IMPACT",,Aménagement des territoires > Friche,
Bénéfriches,L'outil qui calcule la valeur réelle de votre projet d'aménagement,"Bénéfriches quantifie et monétarise les impacts environnementaux, sociaux et économiques d'un projet d'aménagement, sur friche ou en extension urbaine.",https://benefriches.ademe.fr/favicon/favicon-192.png,https://benefriches.ademe.fr/,,,,,,Aménagement des territoires > Friche,"{name: ""surface"", label: ""Surface en m2""}"
Boussole du CGDD,Un outil pédagogique au service de l'amélioration de l'impact des projets ,"Accompagner le porteur de projet tout au long de sa réflexion, le plus en amont possible, pour améliorer son projet (quelle qu’en soit sa nature), en prenant en compte les impacts environnementaux.",https://www.boussole-te.ecologie.gouv.fr/IMG/svg/img_boussole.svg,https://www.boussole-te.ecologie.gouv.fr/,,,,"IDEE, FAISABILITE",,,
France Chaleur Urbaine,Accélérer le raccordement des bâtiments aux réseaux de chaleur,"Pour les exploitants ou collectivités qui souhaitent agir pour la transition énergétique, France Chaleur Urbaine constitue une plateforme pour valoriser leur réseau de chaleur, pour acquérir de nouveaux prospects et pour accéder à des données sur les potentiels de raccordement sur leur territoire, à l’échelle des bâtiments, via un outil cartographique.",https://france-chaleur-urbaine.beta.gouv.fr/_next/image?url=%2Flogo-fcu.png&w=256&q=75,https://france-chaleur-urbaine.beta.gouv.fr/collectivites-et-exploitants,,,,"IDEE, FAISABILITE, EN_COURS, IMPACT",Réseaux de chaleur décarbonés,Aménagement des territoires > Réseaux,
Docurba,Docurba centralise les ressources nécessaires à chaque étape de vos procédures d'urbanisme,"Docurba est l’outil de transformation de la planification territoriale. Il facilite la collaboration entre services de l’Etat, collectivités et bureaux d’études pour faciliter l’élaboration et le suivi d’un document d’urbanisme afin que les enjeux et les politiques publiques soient plus rapidement et mieux pris en compte au niveau local.",https://docurba.beta.gouv.fr/_nuxt/icons/icon_512x512.5f6a36.png,https://docurba.beta.gouv.fr,,,,,,Aménagement des territoires > Foncier,
EnvErgo,Simulez votre projet en phase amont !,Simplifier la prise en compte de la réglementation environnementale dans les projets d’aménagement et de construction.,https://beta.gouv.fr/assets/images/favicons/apple-touch-icon-180x180.png,https://envergo.beta.gouv.fr/simulateur/formulaire/,,,,,,Aménagement des territoires > Foncier,
Zéro Logement vacant,Accompagner les collectivités pour remobiliser les logements vacants,"Zero Logement Vacant permet aux collectivités de mobiliser efficacement les propriétaires de logements vacants de longue durée et les propriétaires bailleurs de passoires thermiques en les faisant entrer dans un programme de remise sur le marché adapté et leur éviter l’interdiction de remise en location (financement de travaux, intermédiation locative…).",https://media.licdn.com/dms/image/v2/D4E0BAQGeZf8tsf_UFQ/company-logo_200_200/company-logo_200_200/0/1706112782821/zro_logement_vacant_logo?e=2147483647&v=beta&t=iTsIg84ilueG6Jmb5RshE_A5KrWJJWDlXbLQBxjNDrQ,https://zerologementvacant.beta.gouv.fr/,,,,,,Habitat > Logement et habitat,
Mon diagnostic artificialisation,Faciliter la mise en oeuvre du Zéro Artificialisation Nette,"Mon Diagnostic Artificialisation aide les collectivités à s’inscrire dans la trajectoire du Zéro Artificialisation Nette (ZAN). En libre accès, le service fournit en instantané et toute transparence des diagnostics aux collectivités, services de l’Etat, acteurs de l’aménagement ou citoyens.",https://mondiagartif.beta.gouv.fr/static/favicon/apple-touch-icon.png,https://mondiagartif.beta.gouv.fr/,,,,,Sobriété foncière,,
Trackdéchets,"Gérer la traçabilité des déchets, en toute sécurité","Trackdéchets est une plateforme réglementaire, développée par le Ministère de la Transition Écologique. Cette plateforme vise à dématérialiser la traçabilité des déchets dangereux pour simplifier la gestion et sécuriser les filières. Ainsi, Trackdéchets permet progressivement de rendre l'écosystème des déchets plus vertueux.",https://trackdechets.beta.gouv.fr/static/img/apple-touch-icon.png,https://trackdechets.beta.gouv.fr/,,,,,"Prévention déchets, Valorisation matière des déchets, Moindre stockage en décharge, Collecte et tri des déchets",Collecte et traitement des déchets,
PrioRéno,Cartographie gratuite des consommations énergétiques des bâtiments publics,PrioRéno Bâtiments publics met à votre disposition gratuitement une vision cartographique de votre parc de bâtiments publics et de ses consommations pour vous aider à établir un plan de rénovation énergétique pertinent face à l’urgence climatique.,https://www.banquedesterritoires.fr/sites/default/files/favicons/apple-touch-icon.png,https://www.banquedesterritoires.fr/produits-services/services-digitaux/offre-prioreno,,,,,Sobriété des bâtiments (tertiaire),,
Otelo,Un outil gratuit d'aide à l'estimation des besoins en logements sur votre territoire,"Otelo est un outil d’estimation des besoins en logements dans les territoires, proposé par la DGALN, en partenariat avec le Cerema. Gratuit, il a été conçu pour accompagner les volets habitat des principaux documents d’urbanisme (PLH, SCoT, PLUi etc.). Grace à une interface en ligne simple et intuitive, les utilisateurs d’Otelo peuvent mobiliser une base de données riche et établir des scénarios portant sur la démographie, le mal-logement et l’occupation du parc (vacance, renouvellement etc.) dans leur territoire.",https://otelo.developpement-durable.gouv.fr/staticfiles/outil/img/apple-touch-icon.png,https://otelo.developpement-durable.gouv.fr/,,,,,,Habitat > Logement et habitat,
CopCerema,Outil pour le calcul des émissions polluantes des véhicules automobiles à l’échelle d’un tronçon,"CopCerema est un outil qui implémente le niveau de précision Tier 3 de la méthodologie Copert 5, avec une approche tronçon par tronçon. L’échelle pertinente pour la méthodologie Copert est une échelle nationale, mais des études ont montré qu’il était possible de baisser très sensiblement le niveau de résolution spatiale et temporelle de cette méthodologie et d’obtenir des résultats d’une très bonne qualité.",https://wiki.resilience-territoire.ademe.fr/images/resilienceterritoire/d/d0/Logo-cerema.png,https://www.cerema.fr/fr/centre-ressources/applications/copcerema,,,,,,"Infrastructures de transport, Routes et voiries",
Le portail cartographique des énergies renouvelables,Un outil d'aide à la planification énergétique française,"Outil d'aide à la décision, mettant à disposition des données objectives et compilables sur les thématiques énergétiques en France, le portail a pour objectif principal d’appuyer les communes dans l’identification de zones potentiellement propices à l’implantation d’énergies renouvelables sur leur territoire.",https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://planification.climat-energie.gouv.fr/,,,,,Electricité renouvelable,,
Le portail cartographique des énergies renouvelables,Accéder aux ressources sans vous connecter,Retrouvez les données sur les zones potentiellement propice à l’implantation d’énergies renouvelables sur votre territoire.,https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://macarte.ign.fr/carte/1X3jxe/Carte-EnR-Grand-public,,,,,Electricité renouvelable,,
Expertises-Territoires,,,,,,,,,,,
UrbanSimul,Portail d’analyse des gisements fonciers et immobiliers,"Outil numérique très riche de caractérisation du foncier urbain, gros regroupement de données qualifiées, analyse des marchés immobiliers, etc. Accès actuellement assujetti à la procédure données fiscales.",https://urbansimul.cerema.fr/sites/urbansimul/files/us.png,https://urbansimul.cerema.fr/,,,,,Sobriété foncière,Aménagement des territoires > Foncier,
Facili-TACCT,Accompagner les collectivités pour une meilleure appropriation de leur diagnostic de vulnérabilité.,"La plateforme TACCT propose un accompagnement global aux collectivités souhaitant s’engager dans un programme ambitieux d’adaptation au changement climatique : diagnostic de vulnérabilité, définition d’une trajectoire d’adaptation et d’un plan d’action, suivi-évaluation. • Facili-TACCT apporte une (re)lecture socio-éco du territoire permettant d’enrichir le diagnostic de vulnérabilité. La collectivité aura toutes les cartes en main pour faire de l’adaptation un thème important de son PCAET, voire poursuivre en s’engageant dans une démarche d’adaptation au long court avec TACCT.",https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://facili-tacct.beta.gouv.fr,,,,,,,
Observatoire du covoiturage,Comprendre le covoiturage quotidien sur votre territoire,Retrouvez des données chiffrées sur le covoiturage,https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://observatoire.covoiturage.gouv.fr/observatoire/territoire/,,,,,Covoiturage,,
Impact CO2,Le site internet qui vulgarise et valorise les données environnementales de l'ADEME,Communiquez de façon pédagogique les ordres de grandeur autour des émissions de gaz à effet de serre,https://upload.wikimedia.org/wikipedia/fr/3/3d/Logo_Impact_CO2.svg,https://impactco2.fr,,,,,,,
J'Agis,Donnez aux habitants de votre commune des solutions pour la transition écologique à leur échelle,"Une démarche sur-mesure, adaptée aux besoins et aux contraintes de chacun

",https://jagis.beta.gouv.fr/logo-jagis.svg,,,,,,,,
AgiRisk,Le Cerema développe et met à disposition des acteurs locaux le plugin Qgis AgiRisk.,L'objectif principal est de bâtir des diagnostics personnalisés et individualisés de vulnérabilité aux inondations s'appuyant sur les indicateurs du référentiel national.,https://piles.cerema.fr/IMG/logo-operateuron0.png,https://agirisk.cerema.fr,,,,,,Actions en matière de gestion des eaux > Cours d'eau / canaux / plans d'eau,
CartoBio,Cartographie les exploitations agricoles biologiques,"Ouvrir, enrichir et partager les données parcellaires de l’agriculture biologique",https://www.agencebio.org/cartobio/assets/favicon.b4b898bb.svg,https://www.agencebio.org/cartobio/,,,,,,"""Agriculture, pêche et agro-alimentaire > Production agricole et foncier""",
ClimaDIAG,Évaluation des impacts climatiques sur les territoires,"Le service Climadiag Commune, lancé début 2023, a été décliné sur la base la trajectoire de réchauffement de référence pour l’adaptation au changement climatique (TRACC) pour fournir des indicateurs climatiques de référence pour 2030, 2050 et 2100 (températures moyennes et cumuls de précipitation au pas de temps annuel et saisonnier, indicateurs sur les extrêmes et les impacts, etc.).
Toutes ces informations permettent aux utilisateurs, collectivités locales et entreprises d’élaborer des stratégies d’adaptation face aux conséquences du changement climatique.",https://meteofrance.com/sites/meteofrance.com/files/favicon_0.png,https://meteofrance.com/climadiag-commune,,,,,,,
CRATer,Projet visant à renforcer la résilience alimentaire des territoires,"Outil numérique de sensibilisation et d'aide au diagnostic de la résilience alimentaire des territoires. Il s'inscrit ainsi dans les défis 2-“Objectifs et Diagnostic” et B-""Alimentation et agriculture"" de l'Appel à Communs.",https://resiliencealimentaire.org/wp-content/uploads/2018/12/Logo-Les-Greniers-dAbondance.png,https://crater.resiliencealimentaire.org/,,,,,,"""Agriculture, pêche et agro-alimentaire > Consommation alimentaire""",
Géorisques,Connaître les risques sur ma commune,"Information sur les risques environnementaux - À partir de son adresse ou du numéro de sa parcelle, l’outil génère automatiquement un état des risques pouvant affecter le bien, prêt à être téléchargé et partagé. Il appartient ensuite au propriétaire de vérifier les informations et, le cas échéant, de compléter le document avec les informations disponibles sur le site Internet de sa préfecture. Il doit également mentionner toute indemnisation de sinistre concernant ce bien qui a fait suite à une catastrophe naturelle ou technologique.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSomJV_4lkdmR5OEeDvko6er-_0RrkVeaC9NQ&s,https://www.georisques.gouv.fr/accueil-collectivite,,,,,,,
Fiche action de la boîte à outils Agenda 2030,"Pour toute structure ou individu qui souhaite sensibiliser à l’Agenda 2030 et intégrer les Objectifs de développement durable (ODD) dans une Action (projet, politique…), une boîte à outils !
","Dans la boîte à outils :
• un jeu de cartes des 17 ODD et des 169 cibles
• une fiche Action, accompagnée d’une liste mémo des 17 ODD et d’un guide d’entretien
• pour construire un démarche adaptée, des documents personnalisables : des enveloppes cibles, des fiches cibles, un dossier annuel
• une fiche Vidéo micro-couloir et une fiche Zoom vidéo pour initier les acteurs du développement durable (collègues, partenaires...) ou valoriser des réalisations",https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://www.agenda-2030.fr/ressources/article/les-odd-a-portee-de-main-avec-la-boite-a-outils-odd,,,,,,,
GeoRivière,Gestion et suivi des cours d'eau,"Modules qui proposent une visualisation des cours d'eau de votre territoire, leurs caractéristiques et répertorient les connaissances pour optimiser la gestion",https://georiviere.fr/assets/img/logo32_32.svg,https://georiviere.fr/application.html,,,,,,Actions en matière de gestion des eaux > Cours d'eau / canaux / plans d'eau,
MétéEAU Nappes,Prévision des niveaux des nappes phréatiques,Le site web MétéEAU Nappes est une plateforme web innovante pour aider à la gestion des eaux souterraines. Elle permet de connaître la situation en temps réel et de prévoir le niveau des nappes d’eau (proposé par le BRGM),https://upload.wikimedia.org/wikipedia/fr/thumb/1/1e/Logo_BRGM.svg/2560px-Logo_BRGM.svg.png,https://meteeaunappes.brgm.fr/fr/presentation-de-meteeau-nappes,,,,,,Actions en matière de gestion des eaux > Eau souterraine,
Nos Villes Vertes,L'information sur la végétation de toutes les communes de France accessible à tous grâce à une plateforme simple d'accès,"Nos Villes Vertes a été conçue par Kermap, une startup spécialisée dans la production, l’analyse et la valorisation de données géographiques pour des applications liées à l’aménagement du territoire, l’environnement et l’agriculture.

Les photographies aériennes issues du Référentiel à Grande Echelle, ont été analysées avec des modèles algorithmiques qui reposent sur l’apprentissage profond pour contextualiser et extraire automatiquement la végétation arborée.
Ces données sont représentées sous la forme de tableaux de bord pour chaque ville française.",https://www.nosvillesvertes.fr/assets/img/favicon-nos-villes-vertes.png,"https://www.nosvillesvertes.fr/Explorer

",,,,,,,
TerriStory,"Un outil partenarial d’aide au pilotage de la transition des territoires, co-construit avec les territoires","Interface de visualisation interactive de données opendata multithématiques (énergie, climat, mobilité, économie...), TerriSTORY® facilite la compréhension de son territoire, l'identification de ses atouts et des leviers d’actions prioritaires.
L’outil permet de simuler des scénarios prospectifs et d'en mesurer les impacts socio-économiques et environnementaux, pour construire une trajectoire territoriale à la hauteur des enjeux et des objectifs.",https://terristory.fr/favicon.ico,https://terristory.fr/,,,,"IDEE, FAISABILITE",,,
MiNumEco,Réduire l’empreinte environnementale du numérique public,"La MiNumEco, la Mission Interministérielle Numérique Écoresponsable, accompagne les administrations dans la réduction de l'empreinte environnementale du numérique public.",https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://ecoresponsable.numerique.gouv.fr/publications/strategie-numerique-responsable-des-collectivites/,,,,,,"""Industrie, commerce et artisanat > Technologies numériques et numérisation""",
MiNumEco,"Le RGESN, ou référentiel général d’écoconception de services numériques, est un document de référence mené dans le cadre de la Mission interministérielle Green Tech. Son objectif est de réduire la consommation globale des ressources informatiques et énergétiques mais aussi des équipements (utilisateurs, réseau ou serveur).","Ce référentiel est mené dans le cadre de la mission interministérielle « Green Tech » et co-pilotée par la Direction interministérielle du numérique (DINUM), le Ministère de la Transition Écologique, mais également l’ADEME et l’Institut du Numérique Responsable. Les objectifs sont de réduire la consommation de ressources informatiques et énergétiques et la contribution à l’obsolescence des équipements, qu’il s’agisse des équipements utilisateurs ou des équipements réseau ou serveur.",https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://ecoresponsable.numerique.gouv.fr/publications/referentiel-general-ecoconception/,,,,,,"""Industrie, commerce et artisanat > Technologies numériques et numérisation""",
Label Numérique Responsable,"Le label Numérique Responsable vise à réduire l’empreinte sociale, économique et environnementale du numérique.","Construit par l’Institut du Numérique Responsable en partenariat avec le Ministère de la Transition Ecologique et Solidaire, l’ADEME et WWF, le label s’appuie sur 4 axes et 14 principes d’action.",https://label-nr.fr/wp-content/uploads/Logo-LNR-200-labelnr.jpg,https://label-nr.fr/referentiel-numerique-responsable/#axe5,,,,,,"""Industrie, commerce et artisanat > Technologies numériques et numérisation""",